"","sampleObjTimeseries.sampleObjTimeseries.objSampleTimeSeries..i...fcst","sampleObjTimeseries.sampleObjTimeseries.objSampleTimeSeries..i...lower","sampleObjTimeseries.sampleObjTimeseries.objSampleTimeSeries..i...upper","sampleObjTimeseries.sampleObjTimeseries.objSampleTimeSeries..i...CI","V5"
"64",20.399462439645,8.50777318870555,32.2911516905845,11.8916892509395,17.3234801598
"65",20.5275471357851,8.53523899557547,32.5198552759946,11.9923081402096,17.4136828052
"66",20.6308165607884,8.54045148482515,32.7211816367516,12.0903650759632,17.4136828052
"67",20.7924066743834,8.60759784298038,32.9772155057865,12.1848088314031,17.4136828052
"68",20.9789231200373,8.70256566859116,33.2552805714834,12.2763574514461,17.4918584311
"69",21.0721587184271,8.70721567672147,33.4371017601327,12.3649430417056,17.5596106403
"70",21.1889105577384,8.73723811561962,33.6405829998572,12.4516724421188,17.6183292216
"71",21.3608141818969,8.82469640038457,33.8969319634091,12.5361177815123,17.6692186587
"72",21.5360590897309,8.91890280385268,34.1532153756091,12.6171562858782,17.7133228376
"73",21.6632244611714,8.96778128841067,34.3586676339321,12.6954431727607,17.7133228376
