"Date","WS","RT","ARR"
"2006-03-25",3.6670759517,7.368642837,1120.95875863
"2006-03-26",3.6531324915,7.368642837,977.664257477
"2006-03-27",3.6364185297,7.3194904588,1009.47168981
"2006-03-28",3.6182293924,7.2768917309,1035.50213117
"2006-03-29",3.591058066,7.2399728335,1030.62451368
"2006-03-30",3.5771392127,7.2079764557,1227.71591186
"2006-03-31",3.5629873177,7.1802462616,1222.64445694
"2006-04-01",3.5457001198,7.1802462616,1372.85186268
"2006-04-02",3.5307178816,7.1802462616,1219.72494766
"2006-04-03",3.5349554974,7.1562134267,1281.70828797
"2006-04-04",3.5456280977,7.1353849698,1182.66718291
"2006-04-05",3.5474231392,7.1173336405,1217.24489185
"2006-04-06",3.544063017,7.1173336405,1280.57357294
"2006-04-07",3.538187948,7.1016891551,1150.73709655
"2006-04-08",3.5508739994,7.1016891551,1028.14548368
"2006-04-09",3.5840907995,7.1016891551,899.238085852
"2006-04-10",3.5915453596,7.0881306011,976.871674405
"2006-04-11",3.6008631211,7.0881306011,1155.84345115
"2006-04-12",3.597414705,7.0763798543,1026.49232433
"2006-04-13",3.605259411,7.0661958737,1165.35201442
"2006-04-14",3.6103914895,7.0661958737,1240.99707916
"2006-04-15",3.6111726243,7.0661958737,1200.69213528
"2006-04-16",3.6313496077,7.0661958737,1063.87718391
"2006-04-17",3.6218363267,7.0573697572,1321.34022605
"2006-04-18",3.6081470387,7.0497204563,1454.95886258
"2006-04-19",3.5864547062,7.0430910621,1557.8976809
"2006-04-20",3.5504829676,7.0373455871,1609.90599011
"2006-04-21",3.5329185719,7.0323661755,1417.3918581
"2006-04-22",3.5055960957,7.0323661755,1246.29294369
"2006-04-23",3.4770721718,7.0323661755,1105.74721786
"2006-04-24",3.4571958822,7.0280506855,992.871588813
"2006-04-25",3.4592667343,7.0243105941,1005.73004364
"2006-04-26",3.4429200586,7.0210691815,950.346037819
"2006-04-27",3.4171973841,7.0182599573,1084.41723278
"2006-04-28",3.379348844,6.882491963,1050.28826841
"2006-04-29",3.3521023315,6.882491963,1011.06983262
"2006-04-30",3.3166220206,6.882491963,918.45918827
"2006-05-01",3.2788501957,6.7648263679,856.797963167
"2006-05-02",3.2570035029,6.7961828522,1003.47156808
"2006-05-03",3.2681505106,6.8233584719,930.268692334
"2006-05-04",3.2624711833,6.8469106757,821.506200023
"2006-05-05",3.2434750255,6.8673225856,733.805373353
"2006-05-06",3.2337591635,6.8673225856,734.463323573
"2006-05-07",3.2425023862,6.8673225856,647.83488043
"2006-05-08",3.2537242902,6.8850129075,606.583563039
"2006-05-09",3.236988402,6.9003445198,724.959087967
"2006-05-10",3.2397899484,6.9136319172,786.697876238
"2006-05-11",3.2460401775,6.9251476616,864.128826073
"2006-05-12",3.250790376,6.9351279734,959.524982597
"2006-05-13",3.2419577198,6.9351279734,1064.16165158
"2006-05-14",3.2448712937,6.9351279734,966.749431373
"2006-05-15",3.2384844141,6.9437775769,888.834840523
"2006-05-16",3.2282420478,6.9512739,983.67419512
"2006-05-17",3.2143754313,6.9577707133,1004.6509691
"2006-05-18",3.2052364849,6.9634012849,1058.11750656
"2006-05-19",3.1871645496,6.9682811136,1144.66183902
"2006-05-20",3.1844314985,6.9682811136,1211.62292715
"2006-05-21",3.2069517432,6.9682811136,1065.81320353
"2006-05-22",3.1942672683,6.9725102984,999.607443057
"2006-05-23",3.1739945955,6.976175592,1166.51311732
"2006-05-24",3.1661286494,6.9793521797,1030.47136834
"2006-05-25",3.1583781628,6.9821052224,923.093852562
"2006-05-26",3.1416610745,6.9844911928,834.808005554
"2006-05-27",3.1306517191,6.9844911928,752.273604813
"2006-05-28",3.148342601,6.9844911928,680.810457505
"2006-05-29",3.150045069,6.9865590337,614.262396504
"2006-05-30",3.1354936053,6.9883511626,565.720743637
"2006-05-31",3.100205569,6.8565710076,529.171311152
"2006-06-01",3.116368636,6.8756948732,487.281802998
"2006-06-02",3.0755194845,6.8922688901,439.124229265
"2006-06-03",3.0521168866,6.8922688901,401.24233203
"2006-06-04",3.011834635,6.8922688901,365.543354426
"2006-06-05",3.0028492763,6.9066330381,336.730907169
"2006-06-06",2.9719931823,6.9190819664,307.87345288
"2006-06-07",2.9883940913,6.9298710375,295.663659163
"2006-06-08",2.998089694,6.9392215658,282.468504608
"2006-06-09",3.0274110681,6.9473253571,274.224703993
"2006-06-10",3.0580592893,6.9473253571,262.034743461
"2006-06-11",3.091587892,6.9473253571,247.167444333
"2006-06-12",3.1060428398,7.0876819761,246.295785088
"2006-06-13",3.1225704611,7.2093243793,253.300347077
"2006-06-14",3.136227733,7.3147477954,248.2443008
"2006-06-15",3.1587307019,7.406114756,244.25572736
"2006-06-16",3.194233275,7.4852994552,237.914963712
"2006-06-17",3.2344466161,7.4852994552,246.31296855
"2006-06-18",3.3034648451,7.4852994552,229.01123941
"2006-06-19",3.3211510139,7.5539261945,246.956407489
"2006-06-20",3.3455531009,7.6134027019,248.435553157
"2006-06-21",3.316331206,7.6649490083,246.490812736
"2006-06-22",3.3074870452,7.7096224739,246.200037705
"2006-06-23",3.3325998836,7.7483394774,247.620032677
"2006-06-24",3.3726976769,7.7483394774,257.950694987
"2006-06-25",3.4200416904,7.7483394774,253.950602322
"2006-06-26",3.4418139094,7.7818942137,245.943855346
"2006-06-27",3.46975724,7.9443083186,241.204674633
"2006-06-28",3.4859747932,7.9517338761,243.044051349
"2006-06-29",3.4887972017,8.0915026926,252.224844502
"2006-06-30",3.5139575748,8.2126356669,245.294865235
"2006-07-01",3.5120965649,8.2126356669,224.682216537
"2006-07-02",3.5829836895,8.2126356669,213.797920999
"2006-07-03",3.6052525309,8.317617578,211.000864866
"2006-07-04",3.6467744157,8.4086019009,208.674082884
"2006-07-05",3.6890563455,8.4874549808,207.170871832
"2006-07-06",3.6971821661,8.5557943167,219.594755588
"2006-07-07",3.7355065952,8.6150217411,225.56212151
"2006-07-08",3.7547723825,8.6150217411,221.920505308
"2006-07-09",3.8171360648,8.6150217411,223.371104601
"2006-07-10",3.8281845895,8.6663521757,221.321623987
"2006-07-11",3.8278112596,8.7108385522,235.672074122
"2006-07-12",3.8557697584,8.7493934119,245.829130906
"2006-07-13",3.8850004572,8.7828076237,238.965246785
"2006-07-14",3.9346194439,8.8117666072,240.78721388
"2006-07-15",3.986926595,8.8117666072,236.54225203
"2006-07-16",4.0605215675,8.8117666072,235.417951759
"2006-07-17",4.1022298029,8.8368643929,226.267558191
"2006-07-18",4.1327017267,8.8586158072,245.611883766
"2006-07-19",4.1683414964,8.8774670329,242.123632597
"2006-07-20",4.1978959636,8.8938047618,237.833814917
"2006-07-21",4.2282371078,8.9079641269,235.354639595
"2006-07-22",4.2460479177,8.9079641269,230.194020982
"2006-07-23",4.274074862,8.9079641269,222.741484851
"2006-07-24",4.3032722878,8.9202355767,221.622620205
"2006-07-25",4.3167248717,8.7975374998,223.027604177
"2006-07-26",4.3491245184,8.6911991665,306.730590287
"2006-07-27",4.3764264345,8.7323726109,287.559844915
"2006-07-28",4.4097547617,8.7680562628,294.983865593
"2006-07-29",4.4347133861,8.7680562628,272.959350181
"2006-07-30",4.4658944584,8.7680562628,260.35810349
"2006-07-31",4.467478901,8.7989820944,248.363689691
"2006-08-01",4.4653908051,8.8257844819,240.555197733
"2006-08-02",4.4674656819,8.8490132176,243.907838035
"2006-08-03",4.481854873,8.8691447886,239.052126297
"2006-08-04",4.4795123185,8.8865921501,415.911842791
"2006-08-05",4.48887893,8.8865921501,399.110263752
"2006-08-06",4.4747426917,8.8865921501,380.768895252
"2006-08-07",4.4747769995,8.9017131968,353.619709218
"2006-08-08",4.4890802372,8.9148181039,343.677081322
"2006-08-09",4.508997744,8.92617569,326.368137146
"2006-08-10",4.5089091559,8.9360189313,303.12571886
"2006-08-11",4.5094306702,8.9445497405,370.287623012
"2006-08-12",4.4843637237,8.9445497405,341.875939944
"2006-08-13",4.490893005,8.9445497405,316.431147951
"2006-08-14",4.5004833393,8.9519431084,302.586994891
"2006-08-15",4.5070855608,8.9519431084,265.468728906
"2006-08-16",4.5228680921,8.9519431084,257.139565051
"2006-08-17",4.5175967909,9.0916840273,432.724956378
"2006-08-18",4.5408915778,9.2127928237,745.132295528
"2006-08-19",4.5637812477,9.2127928237,681.814656124
"2006-08-20",4.6068881925,9.2127928237,620.968701974
"2006-08-21",4.614174895,9.3177537805,569.886208377
"2006-08-22",4.6290028577,9.4087199431,532.761380594
"2006-08-23",4.6591529041,9.487557284,483.073196515
"2006-08-24",4.6943427733,9.5558829795,444.996770313
"2006-08-25",4.7136155887,9.6150985822,423.409200938
"2006-08-26",4.7256890657,9.6150985822,406.598640813
"2006-08-27",4.7617083014,9.6150985822,378.064155371
"2006-08-28",4.7613593158,9.6664187713,351.022267988
"2006-08-29",4.75947437,9.7108962684,340.135298923
"2006-08-30",4.7323525348,9.7494434326,330.017259067
"2006-08-31",4.7258166413,9.6495176416,330.308291191
"2006-09-01",4.6794114595,9.6962486227,314.960519032
"2006-09-02",4.6919001879,9.6962486227,305.271116495
"2006-09-03",4.7373611153,9.6962486227,281.094967629
"2006-09-04",4.7296812205,9.603415473,286.463638612
"2006-09-05",4.7220729308,9.5229600766,278.527153463
"2006-09-06",4.7161669104,9.4532320664,264.483533002
"2006-09-07",4.7024557668,9.3928011242,265.052395268
"2006-09-08",4.6938320349,9.340427641,351.038742566
"2006-09-09",4.6817972874,9.340427641,450.766910224
"2006-09-10",4.7182983898,9.340427641,403.860655527
"2006-09-11",4.7211919379,9.2950372889,393.445901457
"2006-09-12",4.7185250763,9.2556989837,544.319781263
"2006-09-13",4.7198645899,9.2216057859,602.557143761
"2006-09-14",4.7134064541,9.1920583477,852.569524593
"2006-09-15",4.7090263343,9.2997839014,761.360254647
"2006-09-16",4.6874187827,9.2997839014,687.465554027
"2006-09-17",4.6760098586,9.2997839014,626.787480157
"2006-09-18",4.6455333304,9.3931460479,571.855816136
"2006-09-19",4.6311288864,9.3407265748,527.521707318
"2006-09-20",4.6151265163,9.4286296982,483.278813009
"2006-09-21",4.6081523825,9.5048124051,443.921637941
"2006-09-22",4.578593176,9.5708374177,667.025419549
"2006-09-23",4.5868442446,9.5708374177,717.575363609
"2006-09-24",4.5869316786,9.5708374177,646.195981795
"2006-09-25",4.61715897,9.6280590954,581.849850889
"2006-09-26",4.6148711073,9.677651216,528.083204103
"2006-09-27",4.5984438486,9.7206310539,470.872110223
"2006-09-28",4.5875402243,9.7578802467,427.81582886
"2006-09-29",4.5806300992,9.6568295471,385.667051679
"2006-09-30",4.5555204449,9.6568295471,360.678111455
"2006-10-01",4.5360542269,9.6568295471,322.587696594
"2006-10-02",4.5206914411,9.6568295471,287.376003715
"2006-10-03",4.49371036,9.5692522742,278.120536553
"2006-10-04",4.481821706,9.493351971,266.231131679
"2006-10-05",4.4975788118,9.4275717082,264.900314122
"2006-10-06",4.5242508433,9.3705621471,273.950938906
"2006-10-07",4.5153031118,9.3705621471,265.570813718
"2006-10-08",4.5435657272,9.3705621471,280.913371889
"2006-10-09",4.5677569636,9.4544871941,287.951588971
"2006-10-10",4.5912013342,9.5272222349,289.188710441
"2006-10-11",4.5730582504,9.5902592703,278.883549049
"2006-10-12",4.5764917535,9.6448913676,288.299075843
"2006-10-13",4.6178080045,9.5589058519,282.792532397
"2006-10-14",4.6388903941,9.5589058519,261.380194744
"2006-10-15",4.6132605637,9.5589058519,253.756168778
"2006-10-16",4.6193557364,9.4843850716,249.555346274
"2006-10-17",4.6404113352,9.5531337288,231.961300104
"2006-10-18",4.6442539264,9.7460492316,353.56646009
"2006-10-19",4.6359724505,9.9132426674,339.050932078
"2006-10-20",4.6439966366,9.9248103117,436.497474468
"2006-10-21",4.6363843866,9.9248103117,521.377811206
"2006-10-22",4.662150419,9.9248103117,468.147436378
