"","ArrivalcData.fcst","ArrivalcData.lower","ArrivalcData.upper","ArrivalcData.CI","V5"
"97",9245.47436633054,5422.49877183668,13068.4499608244,3822.97559449385,6091.11938897
"98",9294.29059093722,5455.96813795085,13132.6130439236,3838.32245298637,6635.99680377
"99",9278.73538737837,5423.55090682875,13133.919867928,3855.18448054962,7480.7038966
"100",9218.41877730847,5345.80008449978,13091.0374701172,3872.6186928087,7899.45004372
"101",9219.41879346406,5329.50659143335,13109.3309954948,3889.9122020307,7749.75003789
"102",9221.74128996621,5314.29814007371,13129.1844398587,3907.44314989251,7767.59669951
"103",9165.78037060827,5241.24746942213,13090.3132717944,3924.53290118614,7377.47713957
"104",9151.4945335258,5210.94637637108,13092.0426906805,3940.54815715472,7112.45352096
"105",9188.66706787011,5231.87544010521,13145.458695635,3956.7916277649,6560.73971817
"106",9165.41811892108,5191.17992595654,13139.6563118856,3974.23819296455,6597.53442241
"107",9105.02086323789,5113.02705341973,13097.0146730561,3991.99380981816,6866.84983276
"108",9102.66349261148,5093.16406361436,13112.1629216086,4009.49942899713,6609.97652172
"109",9102.28940019132,5075.13783278491,13129.4409675977,4027.15156740641,6383.69965216
"110",9052.694857384,5008.40591385496,13096.983800913,4044.28894352904,7066.41969854
"111",9041.55290425537,4981.14059969984,13101.9652088109,4060.41230455553,7127.76373873
"112",9074.03017691449,4997.34019900251,13150.7201548265,4076.68997791198,6828.32857357
"113",9051.21759013665,4957.31441530497,13145.1207649683,4093.90317483169,6969.12476376
"114",8994.99189815057,4883.74531637475,13106.2384799264,4111.24658177583,7093.84146192
"115",8987.44505197696,4859.10107653209,13115.7890274218,4128.34397544488,6629.729267
"116",8979.88400166249,4834.37871787978,13125.3892854452,4145.50528378271,6313.3520314
"117",8930.9561678982,4768.82078747579,13093.0915483206,4162.1353804224,6509.03842721
"118",8918.92905831554,4741.04489742166,13096.8132192094,4177.88416089389,6351.13997025
"119",8946.52610863001,4752.74190731362,13140.3103099464,4193.78420131639,6264.77464089
"120",8925.51950116391,4715.03213018568,13136.0068721421,4210.48737097822,6437.35135543
"121",8875.73871440854,4648.34397602959,13103.1334527875,4227.39473837895,6594.26450804
"122",8868.4481346116,4624.21085014702,13112.6854190762,4244.23728446458,5860.44257364
"123",8858.52194883356,4597.30407771183,13119.7398199553,4261.21787112173,6080.93023049
"124",8810.41100702418,4532.63955743873,13088.1824566096,4277.77144958545,5800.60619975
"125",8795.61558398389,4502.03941305924,13089.1917549085,4293.57617092465,6026.33870645
"126",8816.17276767683,4506.65385369708,13125.6916816566,4309.51891397975,6096.74687893
"127",8793.11056298486,4466.94722610485,13119.2738998649,4326.16333688,6630.79396174
"128",8746.41195992693,4403.40919079194,13089.4147290619,4343.00276913499,6812.3014335
"129",8739.11187027468,4379.32020996885,13098.9035305805,4359.79166030583,6564.30124237
"130",8728.72302913623,4352.01698117254,13105.4290770999,4376.70604796369,6384.43441005
"131",8684.46708213157,4291.22101669655,13077.7131475666,4393.24606543502,6992.42982205
"132",8670.97849974183,4261.86834156627,13080.0886579174,4409.11015817556,6844.23917911
"133",8687.56804768251,4262.51480983986,13112.6212855252,4425.05323784265,6358.22062189
"134",8663.30647765528,4221.76686574313,13104.8460895674,4441.53961191215,6136.80453897
"135",8618.51819379108,4160.40815946833,13076.6282281138,4458.11003432275,5998.96393378
"136",8609.11397183878,4134.53967388783,13083.6882697897,4474.57429795095,5487.74207594
"137",8596.40329895638,4105.31276683394,13087.4938310788,4491.09053212244,5153.89646582
"138",8554.81781310118,4047.61302258049,13062.0226036219,4507.20479052069,5040.24360371
"139",8542.28487765631,4019.60515490154,13064.9646004111,4522.67972275477,5179.46445655
"140",8556.4609509595,4018.27065967876,13094.6512422403,4538.19029128075,5793.20252901
"141",8534.0831849186,3979.9491601625,13088.2172096747,4554.1340247561,6829.00219181
"142",8493.70008508049,3923.56804330675,13063.8321268542,4570.13204177374,6954.1752329
"143",8483.54458129295,3897.48779660783,13069.6013659781,4586.05678468513,6524.39186851
"144",8468.82352429789,3866.79935822379,13070.847690372,4602.0241660741,6566.37961938
"145",8428.64806605109,3811.02785507991,13046.2682770223,4617.62021097118,6577.31567013
"146",8415.15043060237,3782.4980924575,13047.8027687472,4632.65233814488,6254.52691411
"147",8425.48066948317,3777.77363487838,13073.187704088,4647.70703460479,6304.6166589
"148",8403.60113086371,3740.48113793524,13066.7211237922,4663.11999292847,6550.04110438
"149",8366.79449285651,3688.20552205615,13045.3834636569,4678.58897080036,6429.19562379
"150",8357.02913423259,3663.00459108763,13051.0536773776,4694.02454314497,6053.15620729
"151",8342.27287439392,3632.76281868193,13051.7829301059,4709.51005571199,6118.98871298
"152",8304.73980103437,3580.07085057987,13029.4087514889,4724.6689504545,6275.05688458
"153",8291.25003858128,3551.92389619301,13030.5761809696,4739.32614238827,5832.76929997
"154",8298.32654342813,3544.34298736568,13052.3100994906,4753.98355606245,6111.09339331
"155",8276.1016638371,3507.17796459684,13045.0253630774,4768.92369924026,6415.20094087
"156",8241.35053501931,3457.46803784228,13025.2330321963,4783.88249717703,6602.74748209
"157",8231.03637577799,3432.25252118199,13029.820230374,4798.783854596,6626.07448447
"158",8215.81637370018,3402.11896199634,13029.513785404,4813.69741170384,6988.46455321
"159",8180.96989657141,3352.67849017871,13009.2613029641,4828.2914063927,7039.50927945
"160",8168.60841629459,3326.19412440643,13011.0227081828,4842.41429188816,7135.73470886
"161",8174.15025536725,3317.6470805192,13030.6534302153,4856.50317484806,6855.67674768
"162",8152.88969468255,3282.0899686379,13023.6894207272,4870.79972604466,7369.78651465
"163",8120.76456248998,3235.68679974624,13005.8423252337,4885.07776274373,7424.56164603
"164",8110.074919211,3210.7911161955,13009.3587222265,4899.2838030155,6724.83342656
"165",8094.14527047357,3180.67025215004,13007.6202887971,4913.47501832353,6937.30896969
"166",8061.12912818613,3133.77611198518,12988.4821443871,4927.35301620095,7350.38777373
"167",8049.00952726539,3108.21756341677,12989.801491114,4940.79196384862,7053.1494039
"168",8052.86033731527,3098.68276652534,13007.0379081052,4954.17757078993,6868.08948338
"169",8032.95410137427,3065.23404105428,13000.6741616943,4967.72006031998,6977.07755226
"170",8003.94464853669,3022.70916924141,12985.180127832,4981.23547929528,6990.46721196
"171",7993.70156751716,2999.00908769306,12988.3940473413,4994.6924798241,6881.5515837
"172",7977.95387894798,2969.82074874139,12986.0870091546,5008.13313020659,6662.93137254
"173",7947.05556606475,2925.76659372963,12968.3445383999,5021.28897233512,6659.0338562
"174",7935.07803186235,2901.02642024485,12969.1296434798,5034.05161161749,6446.88267537
"175",7937.02803417809,2890.27481547541,12983.7812528808,5046.75321870268,6061.97831866
"176",7917.77457610385,2858.20363991122,12977.3455122965,5059.57093619263,5817.43454284
