"","RPcData.fcst","RPcData.lower","RPcData.upper","RPcData.CI","V5"
"67",17.7464852204012,11.4438474996641,24.0491229411383,6.30263772073709,15.7036238391
"68",17.6891148703167,11.3187038098335,24.0595259307999,6.37041106048321,15.2098073273
"69",17.6262693381309,11.1889032223402,24.0636354539215,6.43736611579067,15.181833017
"70",17.5612078401953,11.0578154944648,24.0646001859258,6.50339234573051,15.1575886147
"71",17.5027996467448,10.934215067766,24.0713842257236,6.56858457897879,15.1365767994
"72",17.4390479092706,10.8060979190344,24.0719978995068,6.63294999023622,15.1183665595
"73",17.3723309296532,10.6760282622411,24.0686335970652,6.69630266741202,15.1183665595
"74",17.3123755539456,10.553783876169,24.0709672317223,6.75859167777663,15.1183665595
"75",17.2568856861914,10.4370510471396,24.0767203252431,6.81983463905171,15.1025843515
"76",17.197130618641,10.3170373043184,24.0772239329636,6.88009331432263,13.088906438
