"","sampleObjTimeseries.sampleObjTimeseries.sampleObjTimeseries.objSampleTimeSeries..i...fcst","sampleObjTimeseries.sampleObjTimeseries.sampleObjTimeseries.objSampleTimeSeries..i...lower","sampleObjTimeseries.sampleObjTimeseries.sampleObjTimeseries.objSampleTimeSeries..i...upper","sampleObjTimeseries.sampleObjTimeseries.sampleObjTimeseries.objSampleTimeSeries..i...CI","V5"
"63",20.2107163903903,8.90315898620606,31.5182737945746,11.3075574041843,21.4826335045
"64",20.3168528693951,8.91417208424045,31.7195336545497,11.4026807851546,21.5516157039
"65",20.4353923680828,8.94145482541802,31.9293299107475,11.4939375426647,21.4780669434
"66",20.5601929075593,8.97908377078266,32.1413020443358,11.5811091367766,21.4780669434
"67",20.7188996855367,9.05376745521332,32.38403191586,11.6651322303233,21.4780669434
"68",20.8734650767889,9.12698445691812,32.6199456966596,11.7464806198708,21.2809913509
"69",20.9814174308527,9.15655467487579,32.8062801868295,11.8248627559769,21.1101925041
"70",21.084707322217,9.18325241428872,32.9861622301453,11.9014549079283,20.9621668369
"71",21.2156759899596,9.24002178211752,33.1913301978018,11.9756542078421,20.700544592
"72",21.3301798107167,9.28352853346017,33.3768310879732,12.0466512772565,20.3404719797
